region_id,municipality,county,state
2478,QUAKERTOWN,BUCKS,PA
2401,RICHLAND,BUCKS,PA
1788,RICHLANDTOWN,BUCKS,PA
1790,RIEGELSVILLE,BUCKS,PA
1686,SELLERSVILLE,BUCKS,PA
1691,SILVERDALE,BUCKS,PA
2331,SOLEBURY,BUCKS,PA
2456,SPRINGFIELD,BUCKS,PA
1850,TELFORD,BUCKS,PA
1806,TINICUM,BUCKS,PA
1717,TRUMBAUERSVILLE,BUCKS,PA
1848,TULLYTOWN,BUCKS,PA
2183,UPPER MAKEFIELD,BUCKS,PA
2348,UPPER SOUTHAMPTON,BUCKS,PA
2355,WARMINSTER,BUCKS,PA
2470,WARRINGTON,BUCKS,PA
2398,WARWICK,BUCKS,PA
2415,WEST ROCKHILL,BUCKS,PA
2400,WRIGHTSTOWN,BUCKS,PA
1849,YARDLEY,BUCKS,PA
1486,ADAMS,BUTLER,PA
1488,ALLEGHENY,BUTLER,PA
1393,BRADY,BUTLER,PA
2144,BRUIN,BUTLER,PA
1395,BUFFALO,BUTLER,PA
1865,BUTLER,BUTLER,PA
2404,CALLERY,BUTLER,PA
955,CENTER,BUTLER,PA
1310,CHERRY,BUTLER,PA
2387,CHERRY VALLEY,BUTLER,PA
1177,CHICORA,BUTLER,PA
2503,CLAY,BUTLER,PA
1861,CLEARFIELD,BUTLER,PA
1678,CLINTON,BUTLER,PA
1679,CONCORD,BUTLER,PA
2389,CONNOQUENESSING,BUTLER,PA
886,CONNOQUENESSING,BUTLER,PA
1934,CRANBERRY,BUTLER,PA
2169,DONEGAL,BUTLER,PA
2564,EAST BUTLER,BUTLER,PA
1946,EAU CLAIRE,BUTLER,PA
1187,EVANS CITY,BUTLER,PA
1189,FAIRVIEW,BUTLER,PA
1907,FAIRVIEW,BUTLER,PA
2229,FORWARD,BUTLER,PA
727,FRANKLIN,BUTLER,PA
1226,HARMONY,BUTLER,PA
902,HARRISVILLE,BUTLER,PA
1682,JACKSON,BUTLER,PA
1684,JEFFERSON,BUTLER,PA
956,KARNS CITY,BUTLER,PA
1697,LANCASTER,BUTLER,PA
1699,MARION,BUTLER,PA
887,MARS,BUTLER,PA
2066,MERCER,BUTLER,PA
1925,MIDDLESEX,BUTLER,PA
2136,MUDDY CREEK,BUTLER,PA
1537,OAKLAND,BUTLER,PA
1745,PARKER,BUTLER,PA
1782,PENN,BUTLER,PA
1178,PETROLIA,BUTLER,PA
1180,PORTERSVILLE,BUTLER,PA
1740,PROSPECT,BUTLER,PA
1785,SAXONBURG,BUTLER,PA
1933,SEVEN FIELDS,BUTLER,PA
1787,SLIPPERY ROCK,BUTLER,PA
1784,SUMMIT,BUTLER,PA
2275,VALENCIA,BUTLER,PA
2437,VENANGO,BUTLER,PA
1819,WASHINGTON,BUTLER,PA
729,WEST LIBERTY,BUTLER,PA
1653,WEST SUNBURY,BUTLER,PA
2354,WINFIELD,BUTLER,PA
728,WORTH,BUTLER,PA
1871,ZELIENOPLE,BUTLER,PA
1772,ADAMS,CAMBRIA,PA
1730,ALLEGHENY,CAMBRIA,PA
2067,ASHVILLE,CAMBRIA,PA
2179,BARR,CAMBRIA,PA
2181,BLACKLICK,CAMBRIA,PA
2403,BROWNSTOWN,CAMBRIA,PA
1721,CAMBRIA,CAMBRIA,PA
1269,CARROLLTOWN,CAMBRIA,PA
633,CASSANDRA,CAMBRIA,PA
1723,CHEST,CAMBRIA,PA
635,CHEST SPRINGS,CAMBRIA,PA
2231,CLEARFIELD,CAMBRIA,PA
2432,CONEMAUGH,CAMBRIA,PA
1168,CRESSON,CAMBRIA,PA
1765,CROYLE,CAMBRIA,PA
1326,DAISYTOWN,CAMBRIA,PA
1603,DALE,CAMBRIA,PA
2392,DEAN,CAMBRIA,PA
2394,EAST CARROLL,CAMBRIA,PA
1605,EAST CONEMAUGH,CAMBRIA,PA
874,EAST TAYLOR,CAMBRIA,PA
2160,EBENSBURG,CAMBRIA,PA
1155,EHRENFELD,CAMBRIA,PA
875,ELDER,CAMBRIA,PA
1174,FERNDALE,CAMBRIA,PA
914,FRANKLIN,CAMBRIA,PA
